session_id,visitor_id,landing_page,traffic_source,device_type,pages_viewed,session_duration_sec,converted,visit_time
sess_000001,2274,/solutions/enterprise,Direct,Mobile,4,162,0,2026-09-01 00:08:00
sess_000002,3108,/home,Organic Search,Mobile,3,58,0,2026-08-09 13:52:00
sess_000003,1657,/pricing,Organic Search,Desktop,6,883,0,2026-09-10 20:48:00
sess_000004,1985,/docs/api,LinkedIn,Desktop,2,164,0,2026-08-10 00:38:00
sess_000005,1401,/home,Direct,Desktop,4,61,1,2026-08-30 00:38:00
sess_000006,2953,/product/analytics,GitHub,Desktop,2,84,0,2026-08-07 01:04:00
sess_000007,1309,/pricing,Organic Search,Mobile,3,451,0,2026-09-14 22:56:00
sess_000008,2401,/product/analytics,Direct,Desktop,1,45,0,2026-08-14 02:46:00
sess_000009,2310,/signup,Direct,Desktop,5,46,0,2026-08-03 03:15:00
sess_000010,2614,/docs/api,GitHub,Desktop,2,157,0,2026-09-08 19:29:00
sess_000011,1953,/signup,Direct,Desktop,2,77,0,2026-09-07 03:32:00
sess_000012,1895,/product/analytics,Organic Search,Tablet,1,70,0,2026-08-25 13:24:00
sess_000013,2233,/pricing,Organic Search,Desktop,2,100,0,2026-08-24 17:49:00
sess_000014,2622,/docs/api,Organic Search,Desktop,2,325,0,2026-09-14 06:11:00
sess_000015,1061,/home,Referral,Tablet,1,336,0,2026-08-30 17:50:00
sess_000016,1262,/home,LinkedIn,Desktop,4,202,0,2026-09-05 09:28:00
sess_000017,1879,/pricing,Organic Search,Mobile,1,159,0,2026-09-05 10:25:00
sess_000018,2182,/pricing,LinkedIn,Desktop,1,7,0,2026-08-11 09:39:00
sess_000019,1254,/signup,Organic Search,Desktop,2,154,0,2026-09-01 05:53:00
sess_000020,1863,/pricing,Direct,Desktop,2,559,1,2026-08-08 22:34:00
sess_000021,1039,/signup,Organic Search,Tablet,1,331,0,2026-08-19 12:09:00
sess_000022,2613,/product/analytics,Google Ads,Desktop,3,33,0,2026-08-20 08:19:00
sess_000023,3386,/home,Referral,Mobile,3,661,0,2026-08-21 08:46:00
sess_000024,3127,/home,Google Ads,Desktop,2,48,0,2026-08-03 18:13:00
sess_000025,1192,/home,Organic Search,Mobile,5,28,0,2026-08-30 23:32:00
sess_000026,1024,/docs/api,Google Ads,Desktop,2,66,0,2026-08-06 10:06:00
sess_000027,2671,/solutions/enterprise,Organic Search,Desktop,11,32,0,2026-08-18 00:10:00
sess_000028,1775,/pricing,GitHub,Mobile,5,50,0,2026-09-07 17:13:00
sess_000029,1652,/docs/api,Organic Search,Desktop,1,71,0,2026-08-26 10:20:00
sess_000030,2730,/solutions/enterprise,Organic Search,Desktop,1,165,0,2026-08-02 21:03:00
sess_000031,2217,/pricing,Google Ads,Desktop,3,176,0,2026-09-04 12:25:00
sess_000032,1923,/solutions/enterprise,Organic Search,Mobile,2,142,0,2026-08-10 06:29:00
sess_000033,2302,/home,Direct,Desktop,1,68,0,2026-08-23 14:57:00
sess_000034,2313,/solutions/enterprise,Direct,Desktop,3,556,0,2026-08-30 15:28:00
sess_000035,2974,/pricing,Google Ads,Desktop,3,68,0,2026-08-02 20:52:00
sess_000036,3376,/docs/api,LinkedIn,Desktop,2,97,0,2026-08-23 10:05:00
